SKU,Store,Pallet ID,Item ID,UPC,Description,Main Category,Subcategory,Brand,Model,Size,Color,Quantity,Appx. EXT Retail,Appx. Unit Retail,Approx. EXT Wholesale Value,Approx. Unit Wholesale Value,Your Price %,Your EXT Price,Your Unit Price $,% of Load QTY,% of Load $$,Notes
"CARA-LN-PREM015","","","","74170430639","Sally Hansen 230 Hustle Up Hard as Nails Xtreme Wear Polish","","","Sally Hansen","","","","19","189.81","9.99","0.00","0.00","5.00","9.49","0.50","0.0022","0.002060",""
"CARA-LN-PREM015","","","","74170430226","Sally Hansen Complete Salon Manicure Nail Polish, Highgray to Heaven 849","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","74170430271","Sally Hansen Lakier Salon Complete Manicure Desert Poppy","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","74170430172","Sally Hansen Complete Nail Enamel DarkDenim 1 Count","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","74170431018","Sally Hansen Insta-Dri - Color de u","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","74170430134","Sally Hansen Complete Salon Manicure Nail Polish Marooned","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","74170430141","Sally Hansen Complete Salon Manicure Nail Polish, #841 Pale Sand","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","639370099194","I0096981 0.5 Oz 158 Wildfire Vinylux Weekly Nail Polish for Women","","","CND","","","","18","197.82","10.99","0.00","0.00","5.00","9.89","0.55","0.0021","0.002147",""
"CARA-LN-PREM015","","","","639370921556","I0123955 0.5 Oz Vinylux Nail Polish - 270 Unearthed","","","CND","","","","18","197.82","10.99","0.00","0.00","5.00","9.89","0.55","0.0021","0.002147",""
"CARA-LN-PREM015","","","","74170430691","Sally Hansen Limited Edition Miracle Gel Nail Polish - 110 Pi","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","639370001067","CND Vinylux Nail Polish- Lovely Quartz 0.5 Oz","","","CND","","","","18","197.82","10.99","0.00","0.00","5.00","9.89","0.55","0.0021","0.002147",""
"CARA-LN-PREM015","","","","639370098647","CND Vinylux Nail Color, #142 Romantique - 0.5 Oz | CVS","","","CND","","","","18","197.82","10.99","0.00","0.00","5.00","9.89","0.55","0.0021","0.002147",""
"CARA-LN-PREM015","","","","639370098951","CND Weekly Nail Polish 15.0 ML PINK","","","CND","","","","18","197.82","10.99","0.00","0.00","5.00","9.89","0.55","0.0021","0.002147",""
"CARA-LN-PREM015","","","","74170435634","Sally Hansen Miracle Gel Malibu Peach and Top Coat Nail Polish Set","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","74170435665","Sally Hansen Sh Miracle Gel Duo B Girl","","","Sally Hansen","","","","18","179.82","9.99","0.00","0.00","5.00","8.99","0.50","0.0021","0.001952",""
"CARA-LN-PREM015","","","","639370907727","CND Vinylux Long Wear Nail Polish (No Lamp Required), 15 Ml, Nude, Field Fox","","","CND","","","","18","197.82","10.99","0.00","0.00","5.00","9.89","0.55","0.0021","0.002147",""
"CARA-LN-PREM015","","","","79181719674","Fuse SensatioNail Gelnamel Nail Polish Starter Kit, Gone Fission","","","Pacific World","","","","18","125.82","6.99","0.00","0.00","5.00","6.29","0.35","0.0021","0.001366",""
"CARA-LN-PREM015","","","","639370915319","CND Vinylux Longwear Nail Polish, Rise & Shine Collection 0.5 ML PINK","","","CND","","","","17","186.83","10.99","0.00","0.00","5.00","9.34","0.55","0.0020","0.002028",""
"CARA-LN-PREM015","","","","74170430684","Sally Hansen Extreme Wear Get Down 280","","","Sally Hansen","","","","17","169.83","9.99","0.00","0.00","5.00","8.49","0.50","0.0020","0.001843",""
"CARA-LN-PREM015","","","","639370098685","CND Weekly Nail Polish 15.0 ML BLACK","","","CND","","","","17","186.83","10.99","0.00","0.00","5.00","9.34","0.55","0.0020","0.002028",""
"CARA-LN-PREM015","","","","639370098777","CND - Vinylux Fedora 0.5 Oz - #114","","","CND","","","","17","186.83","10.99","0.00","0.00","5.00","9.34","0.55","0.0020","0.002028",""
"CARA-LN-PREM015","","","","639370001081","CND VINYLUX Long Wear Nail Polish * Bordaux BABE #365* 15m","","","CND","","","","17","186.83","10.99","0.00","0.00","5.00","9.34","0.55","0.0020","0.002028",""
"CARA-LN-PREM015","","","","18515123367","CCA Industries Nutra Nail Gel Perfect Manicure 1 Ea","","","CCA Industries","","","","17","254.83","14.99","0.00","0.00","5.00","12.74","0.75","0.0020","0.002766",""
"CARA-LN-PREM015","","","","639370099057","CND Vinylux Long Wear Polish - 144 Rubble, 0.5 Fl Oz","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","639370098616","CND Vinylux Long Wear Polish - 101 Asphalt, 0.5 Fl Oz","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","639370909646","CND Vinylux Weekly Nail Polish Mauve Maverick 0.5 Fl Oz","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","639370001098","I0107104 0.5 Oz Vinylux Nail Polish - 331 Divine Diamond Nail Polish for Women","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","639370001128","CND Vinylux Nail Polish - 334 Powerful Hematite 0.5 Oz Nail Polish","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","639370911816","CND Vinylux Nail Polish - Pink Pursuit #215 0.5 Oz","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","74170430196","Sally Hansen Complete Salon Manicure Shade 846","","","Sally Hansen","","","","16","159.84","9.99","0.00","0.00","5.00","7.99","0.50","0.0019","0.001735",""
"CARA-LN-PREM015","","","","639370923420","CND Vinylux Nail Polish - Offbeat 0.5 Oz","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","74170435610","Sally Hansen Sh Miracle Gel Duo Birthday Suit","","","Sally Hansen","","","","16","159.84","9.99","0.00","0.00","5.00","7.99","0.50","0.0019","0.001735",""
"CARA-LN-PREM015","","","","639370923444","CND Vinylux Nail Polish - Vagabond 0.5 O","","","CND","","","","16","175.84","10.99","0.00","0.00","5.00","8.79","0.55","0.0019","0.001908",""
"CARA-LN-PREM015","","","","71249269534","L Oreal Paris Colour Riche Nail Color 600 Doutzen S Nude 0.39 Fl Oz","","","Loreal","","","","16","159.84","9.99","0.00","0.00","5.00","7.99","0.50","0.0019","0.001735",""
"CARA-LN-PREM015","","","","18515127617","Nutra Nail Gel Perfect Peony","","","CCA Industries","","","","16","111.84","6.99","0.00","0.00","5.00","5.59","0.35","0.0019","0.001214",""
"CARA-LN-PREM015","","","","18515127945","Nutra Nail Gel Perfect 5 Minute Gel-color Manicure Kit, 12794 Snapdragon, 3 Pc","","","CCA Industries","","","","16","111.84","6.99","0.00","0.00","5.00","5.59","0.35","0.0019","0.001214",""
"CARA-LN-PREM015","","","","74170430240","Sally Hansen Manicura completa de sal","","","Sally Hansen","","","","15","149.85","9.99","0.00","0.00","5.00","7.49","0.50","0.0017","0.001626",""
"CARA-LN-PREM015","","","","639370098975","CND Vinylux Long Wear Nail Polish (No Lamp Required), 15 Ml, Pink, Pink Bikini","","","CND","","","","15","164.85","10.99","0.00","0.00","5.00","8.24","0.55","0.0017","0.001789",""
"CARA-LN-PREM015","","","","639370099163","CND Vinylux Long Wear Nail Polish (No Lamp Required), 15 Ml, Pink, Tutti Frutti","","","CND","","","","15","164.85","10.99","0.00","0.00","5.00","8.24","0.55","0.0017","0.001789",""
"CARA-LN-PREM015","","","","74170430264","Sally Hansen Complete Salon Manicure Nail Polish BLUSH AT DUSK #853","","","Sally Hansen","","","","15","149.85","9.99","0.00","0.00","5.00","7.49","0.50","0.0017","0.001626",""
"CARA-LN-PREM015","","","","74170435641","Sally Hansen Miracle Gel Top Coat + Nail Color Duo, Sugar Fix","","","Sally Hansen","","","","15","149.85","9.99","0.00","0.00","5.00","7.49","0.50","0.0017","0.001626",""
"CARA-LN-PREM015","","","","74170430653","Sally Hansen xtreme wear dancing Queen 260","","","Sally Hansen","","","","15","149.85","9.99","0.00","0.00","5.00","7.49","0.50","0.0017","0.001626",""
"CARA-LN-PREM015","","","","639370916118","CND - Vinylux Ice Bar 0.5 Oz - #262","","","CND","","","","14","153.86","10.99","0.00","0.00","5.00","7.69","0.55","0.0016","0.001670",""
"CARA-LN-PREM015","","","","639370916071","CND Vinylux Weekly Nail Polish - 258 Mystic Slate, 0.5 Oz","","","CND","","","","14","153.86","10.99","0.00","0.00","5.00","7.69","0.55","0.0016","0.001670",""
"CARA-LN-PREM015","","","","74170430394","Sally Hansen Insta-Dri Nail Color - SH - Green Light","","","Sally Hansen","","","","14","139.86","9.99","0.00","0.00","5.00","6.99","0.50","0.0016","0.001518",""
